Place,Latitude,Longitude
Kurmaguda,17.363143,78.499684
Rajendranagar Mandal,17.324782,78.403344
Kismatpur,17.338292,78.380319
Sivarampalli,17.331419,78.437411
Attapur,17.367126,78.428413
Kothapet Village,17.308921,78.494141
Manikonda,17.407169,78.376086
Banjara Hills,17.417162,78.43903
Jubilee Hills,17.433191,78.405566
Khairatabad,17.411096,78.464142
Ameerpet,17.437671,78.447753
Malkajgiri,17.450697,78.53093
L B Nagar,17.345653,78.551716
Gangaram,17.494395,78.326388
Pocharam,17.425499,78.644497
Nagole,17.371802,78.569266
Uppal,17.399057,78.558129
Hitec City,17.444028,78.377378
Balanagar,17.481989,78.448899
Kukatpally,17.486901,78.395475
Trimulgherry,17.47814,78.510256
Moula Ali,17.463656,78.561214
Alwal,17.49654,78.507344
Old Alwal,17.506527,78.501851
Bolarum,17.523,78.510164
Yapral,17.506015,78.532663
Sainikpuri,17.493719,78.545872
Kapra,17.488833,78.567608
Dammaiguda,17.500626,78.592635
Daira,17.373332,78.699913
Gachibowli,17.441679,78.34767
Bakaram,17.416614,78.494191
Kondapur,17.469793,78.357722
Chanda Nagar,17.494309,78.327329
Miyapur,17.515764,78.342166
Bachupally,17.550317,78.385211
Quthbullapur,17.498819,78.46277
Kompally,17.537902,78.481887
Medchal,17.632294,78.481179
RGIA,17.240827,78.429342
BITS Hyderabad,17.545218,78.57184
