,Place,Latitude,Longitude,H
0,Kurmaguda,17.363143,78.499684,22.195
1,Rajendranagar Mandal,17.324782,78.40334399999999,19.398
2,Kismatpur,17.338292000000003,78.380319,22.601
3,Sivarampalli,17.331419,78.437411,16.936
4,Attapur,17.367126000000003,78.428413,22.076
5,Kothapet Village,17.308920999999998,78.494141,15.97
6,Manikonda,17.407169,78.376086,27.933
7,Banjara Hills,17.417162,78.43903,30.593
8,Jubilee Hills,17.433191,78.40556600000001,37.177
9,Khairatabad,17.411096,78.46414200000001,30.608
10,Ameerpet,17.437670999999998,78.447753,34.485
11,Malkajgiri,17.450697,78.53093,40.941
12,L B Nagar,17.345653,78.551716,24.229
13,Gangaram,17.494395,78.326388,39.335
14,Pocharam,17.425499,78.644497,54.892
15,Nagole,17.371802,78.569266,29.122
16,Uppal,17.399057,78.55812900000001,32.199
17,Hitec City,17.444028,78.37737800000001,33.494
18,Balanagar,17.481989000000002,78.448899,39.67
19,Kukatpally,17.486901,78.395475,38.573
20,Trimulgherry,17.47814,78.51025600000001,39.815
21,Moula Ali,17.463656,78.561214,40.638
22,Alwal,17.49654,78.50734399999999,43.279
23,Old Alwal,17.506527,78.501851,45.595
24,Bolarum,17.523,78.510164,45.431
25,Yapral,17.506014999999998,78.532663,46.022
26,Sainikpuri,17.493719,78.545872,46.251
27,Kapra,17.488833,78.56760799999999,46.583
28,Dammaiguda,17.500626,78.592635,67.554
29,Daira,17.373332,78.699913,45.051
30,Gachibowli,17.441679,78.34767,31.439
31,Bakaram,17.416614000000003,78.494191,34.084
32,Kondapur,17.469793,78.357722,34.019
33,Chanda Nagar,17.494309,78.327329,39.415
34,Miyapur,17.515764,78.342166,41.905
35,Bachupally,17.550317,78.385211,46.398
36,Quthbullapur,17.498819,78.46276999999999,42.922
37,Kompally,17.537902,78.481887,49.0
38,Medchal,17.632294,78.481179,80.323
39,RGIA,17.240827,78.429342,0.0
40,BITS Hyderabad,17.545218,78.57184000000001,77.427
